"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-01-01",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-01-02",,,,,"1.39",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-01-05",,,,,"0.18",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-01-07",,,,,"0.05",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-01-18",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-01-19",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-01-20",,,,,"0.26",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-01-21",,,,,"0.01",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-01-22",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-01-23",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-01-27",,,,,"0.02",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-01-29",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-01-30",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-02-08",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-02-15",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-02-18",,,,,"0.18",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-02-21",,,,,"0.06",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-02-23",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-02-26",,,,,"0.03",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-02-27",,,,,"0.02",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-03-11",,,,,"0.30",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-03-13",,,,,"0.01",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-03-19",,,,,"0.01",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-03-20",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-03-24",,,,,"0.14",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-04-04",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-04-07",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-04-08",,,,,"0.04",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-04-09",,,,,"0.09",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-04-10",,,,,"0.00",",,H",,,,,,,,
"USC00513171","KAPAHI 1094.2, HI US","22.10222","-159.38611","161.5","2020-04-11",,,,,"0.02",",,H",,,,,,,,
